bezeichnung,hwt,rkt,kwt_in,kwt_out,cop,kl
LTC 30 e,85,22,18,15,0.6437155,35.441875
LTC 30 e,75,22,18,15,0.670574,32.7903125
LTC 30 e,65,22,18,15,0.6950144,28.017889
LTC 30 e,55,22,18,15,0.7195124,21.75358225
LTC 30 e,45,22,18,15,0.722039,11.37935
LTC 30 e,85,27,18,15,0.6302582,30.61145
LTC 30 e,75,27,18,15,0.6429078,26.6911
LTC 30 e,65,27,18,15,0.664298,21.1356175
LTC 30 e,55,27,18,15,0.6832448,14.22277825
LTC 30 e,85,32,18,15,0.6036994,24.573275
LTC 30 e,75,32,18,15,0.6028242,19.710685
LTC 30 e,65,32,18,15,0.5922449,12.97360275
LTC 30 e,55,32,18,15,0.4882525,5.24655625
LTC 30 e,85,37,18,15,0.5524853,19.29266625
LTC 30 e,75,37,18,15,0.527452,12.3144125
LTC 30 e,65,37,18,15,0.43892955,4.59230625
LTC 30 e,55,27,15,10,0.515,8.1025
LTC 30 e,65,27,15,10,0.546,12.8525
LTC 30 e,75,27,15,10,0.551,16.725
LTC 30 e,85,27,15,10,0.542,19.075
LTC 30 e,95,22,18,15,0.57,34.5
LTC 30 e,95,27,18,15,0.56,30.0
LTC 30 e,95,32,18,15,0.54,25.0
LTC 30 e,95,37,18,15,0.54,19.5
LTC 30 e,85,27,18,13,0.58,23.0
LTC 30 e,65,27,18,13,0.62,18.0
LTC 30 e,75,27,18,13,0.6,20.7
LTC 30 e,95,27,18,13,0.57,25.0
LTC 30 e,85,27,15,10,0.52,16.8
LTC 30 e,65,27,15,10,0.55,13.8
LTC 30 e,75,27,15,10,0.54,15.6
LTC 30 e,95,27,15,10,0.51,18.2
